name,address,website,tel
The Honeybee Bakery,"48 Station Rd, Glasgow, G62 8AB",/customerneeds/sendenquiry/sendtoone/100040482654000080?searchedLocation=Glasgow,0141 611 1163
Costa Coffee,"Lower Ground Level, Buchanan Galleries, Glasgow, G1 2GF",http://www.costa.co.uk,0141 332 8930
Starbucks Coffee Co (Uk) Ltd,"Unit 15 1st floor, Buchanan Galleries, Buchanan St, Glasgow, G1 3JN",http://www.starbucks.co.uk,0141 333 9187
Greggs,"UB6, Glasgow, G34 9DL",http://www.greggs.co.uk,0141 771 2276
Caffe Nero,"Unit 4, Level 3 Buchanan Galleries, Glasgow, G2 3GF",http://www.caffenero.com,0141 332 0385
Greggs,"U3 Buchanan Bus Station, Glasgow, G2 3NW",http://www.greggs.co.uk,0141 332 2363
Fame Glasgow Ltd,"127 Hope St, Glasgow, G2 6PE",,0141 258 3838
Cafe Select,"Buchanan Street, GLASGOW, G1 2GF",,0141 354 0092
AMPM,"Buchanan Bus Station, Killermont St, Glasgow, G2 3NW",,0141 258 5356
Coffee Republic,"7 Renfrew Street, GLASGOW, G2 3AB",http://www.coffeerepublic.co.uk,0141 353 2898
Fuel Juice Bar,"Buchanan Street, GLASGOW, G1 2FF",http://www.fueljuicebars.com,0141 332 3652
AMT Coffee Ltd,"Queen Street Railway Station, Dundas St, Glasgow, G1 2AF",http://www.amtcoffee.co.uk,0141 353 0565
Learning Cafe,"Cowcaddens Road, Cowcaddens, GLASGOW, G4 0BA",,
Pret,"34 Sauchiehall St, Glasgow, G2 3AH",http://www.pret.co.uk,0141 333 9647
Starbucks Coffee Co (UK) Ltd,"27 Sauchiehall St, Glasgow, G2 3AT",http://www.starbucks.co.uk,0141 332 7852
Greggs,"U5/6 Level 2, Glasgow, G1 2GF",http://www.greggs.co.uk,0141 332 6614
Cafe Daizy Delicious,"Buchanan Street, GLASGOW, G1 2GF",,
Coffee Republic,"7 Renfrew Street, GLASGOW, G2 3AB",http://www.coffeerepublic.co.uk,0141 353 2898
Laboratorio Espresso,"93 West Nile Street, GLASGOW, G1 2PR",,0141 353 1111
Pret a Manger,"34 Sauchiehall St, Glasgow, G2 3AH",http://www.pret.co.uk,020 7827 8000
John Lewis Espresso Bar,"Buchanan Street, GLASGOW, G1 2FF",http://www.johnlewis.com,0844 693 1741
Coffee Republic,"75 West Nile St, Glasgow, G1 2SH",https://coffeerepublic.co.uk,0141 332 0080
Cafe Roots,"Cowcaddens Road, Cowcaddens, GLASGOW, G4 0BA",,
Tinderbox (Scotland) Ltd,"185 Buchanan St, Glasgow, G1 2JZ",,0141 353 3833
Caffe Nero,"106 Union St, Glasgow, G1 3QW",http://www.caffenero.com,0141 248 1960
Caffe Nero,"1a Dundas St, Glasgow, G1 2AH",http://www.caffenero.com,0141 353 2229
Food Fillas on the Corner Ltd,"87 Renfield St, Glasgow, G2 1LP",,0141 353 1911
The Wild Olive Tree,"163 Buchanan St, Glasgow, G1 2JX",http://www.wildolivetree.co.uk,0141 248 2049
Cafe Wander,"110 West George St, Glasgow, G2 1QJ",http://www.cafewander.com,0141 353 3968
The Willow Tea Rooms,"97 Buchanan St, Glasgow, G2 3EX",http://www.willowtearooms.co.uk,0141 204 5242
Greggs,"162 Buchanan St, Glasgow, G1 2LW",http://www.greggs.co.uk,0141 332 9542
Kimble's,"Unit 335 St Enoch Centre, 55, St Enoch Square, Glasgow, G1 4BW",,0141 611 2280
City Patio,"53 West Nile Street, GLASGOW, G1 2QB",,0141 248 6639
Starbucks Coffee Co (UK) Ltd,"Glasgow West Nile St, 58 Nelson Mandela Square, Glasgow, G1 2NP",http://www.starbucks.co.uk,0141 221 0302
Costa,"44 George Square, GLASGOW, G2 1DS",http://www.costa.co.uk,
Starbucks Coffee Co (UK) Ltd,"136-140 Buchanan St, Glasgow, G1 2JA",http://www.starbucks.co.uk,0141 221 8348
Cafe Chique,"140 Sauchiehall Street, GLASGOW, G2 3DH",,0141 332 9495
Costa Coffee,"Unit 1 George House, 50 George Square, Glasgow, G2 1EH",http://www.costa.co.uk,0141 552 0448
Costa,"50 George Square, GLASGOW, G2 1EG",http://www.costa.co.uk,
Patisserie Valerie,"West Nile St, Glasgow, G1 2PS",http://www.patisserie-valerie.co.uk/glasgow-west-nile.aspx,0141 204 3807
Greggs,"64 Gordon St, Glasgow, G1 3RS",http://www.greggs.co.uk,0141 204 2101
Costa Coffee,"Royal Exchange Square, Glasgow, G1 3AB",http://www.costa.co.uk,0141 229 0773
Chatime,"131 Sauchiehall St, Glasgow, G2 3EW",,07986 008021
Pret,"144-146 Queen St, Glasgow, G1 3BS",http://www.pret.co.uk,0141 221 7602
Pret,"104 St Vincent St, Glasgow, G2 5UB",http://www.pret.co.uk,020 7932 5315
Costa Coffee,"67 St. Vincent St, Glasgow, G2 5TF",http://www.costa.co.uk,0141 847 0710
La Sandwicherie,"59 Port Dundas Rd, Glasgow, G4 0HF",,0141 353 3853
Where the Monkey Sleeps,"182 West Regent St, Glasgow, G2 4RU",http://www.monkeysleeps.com,0141 226 3406
Starbucks Coffee,"90 John Street, GLASGOW, G1 1JH",http://www.starbucks.co.uk,
Greggs,"13 George Square, Glasgow, G2 1DY",http://www.greggs.co.uk,0141 221 0950
The Wee Guy's,"51-53 Cochrane Street, GLASGOW, G1 1HL",,0141 552 5338
Eat,"Unit 2 Buchanon Galleries, Glasgow, G2 3GF",http://www.eat.co.uk,0141 353 6584
Bj's Diner,"140 Sauchiehall Street, GLASGOW, G2 3DH",,0141 331 0212
Riverhill,"24 Gordon St, Glasgow, G1 3PU",,0141 204 4762
iCafe Management Ltd,"315-317 Sauchiehall St, Glasgow, G2 3HW",http://www.icafe.uk.com,0141 353 1553
Greggs,"28 West Nile St, Glasgow, G1 2PF",http://www.greggs.co.uk,0141 221 6224
Kcal Kitchen,"130 West Regent Street, GLASGOW, G2 2RQ",http://www.kcalkitchen.co.uk,
Cranberrys Cafe,"30 Wilson St, Glasgow, G1 1SS",,0141 552 3676
Caffe Nero,"Unit 3, 78, Queen St, Glasgow, G1 3DN",http://www.caffenero.com,0141 222 2450
Starbucks Coffee Co (UK) Ltd,"9 Exchange Place, Glasgow, G1 3AN",http://www.starbucks.co.uk,0141 881 9425
Costa Coffee,"212 Sauchiehall St, Glasgow, G2 3EF",http://www.costa.co.uk,0141 352 9825
Chapter House Cafe,"24-28 Bothwell Street, GLASGOW, G2 6NU",,
Cochrane Street Snack Bar Ltd,"51 Cochrane St, Glasgow, G1 1HL",http://www.facebook.com/theweeguys,0141 552 5338
Starbucks Coffee,"Queen Street, GLASGOW, G1 2AG",http://www.starbucks.co.uk,0141 333 9419
The Project Cafe,"Fleming House, 134, Renfrew St, Glasgow, G3 6ST",http://www.theprojectcafe.co.uk,0141 332 9520
Shakeaway,"26 Gordon Street, GLASGOW, G1 3PW",,0141 204 5459
Caffe Calla,"222 West George St, Glasgow, G2 2PQ",http://caffecalla.co.uk,0141 229 2222
Tinderbox Espresso Bar,"Unit 10-11 Princes Square, 48, Buchanan St, Glasgow, G1 3JN",https://tinderboxespresso.com/espresso-bars/,0141 221 5557
Cafe Bombon,"Buchanan Street, GLASGOW, G1 3JN",,0141 248 6257
Unity Spoon,"46 Trongate, Glasgow, G1 5ES",http://www.unity-enterprise.com,0141 559 5515
The Tea Rooms,"151 Bath St, Glasgow, G2 4SQ",http://www.thebutterflyandthepig.com,0141 243 2459
Cranachan Ltd,"Princes Square Buchanan St, Glasgow, G1 3JN",http://www.cranachancafe.co.uk,0141 248 6257
Caffe Nero,"207 Sauchiehall St, Glasgow, G2 3EX",http://www.caffenero.com,0141 332 4590
The Willow Tea Rooms,"217 Sauchiehall St, Glasgow, G2 3EX",http://www.willowtearooms.co.uk,0141 332 0521
The Bucket List,"65 Cambridge St, Glasgow, G3 6QX",,0141 261 2842
